,Model,rating,user,time_of_review,review,title,user_address,user_type
107,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Flipkart Customer,2months ago,"Battery power fullDisplay ok,overall Good",Fair,Viluppuram District,Certified Buyer
108,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,2,Flipkart Customer,3months ago,Facing 2 problems with the phone.1.Even though as per settings the phone should switch off on 15 seconds of inactivity.But many times the phone is not getting locked.Its a privacy issue.2.There is a problem with the power button.Once swithched off it takes multiple attempts ( sometimes 10 ) to switch it on.,Not good,Kolkata,Certified Buyer
109,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,ASHVIN Upadala,6months ago,"xcellent product, excellent battery....",Simply awesome,Surat,Certified Buyer
110,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Flipkart Customer,6months ago,nice phone,Super!,Baleshwar,Certified Buyer
111,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Bhaskar  Midya ,7months ago,nice product,Perfect product!,Haldia,Certified Buyer
112,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Dhanjit  Pathak ,8months ago,plz credit super coin,Good choice,Bongaigaon,Certified Buyer
113,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,2,Irshad Ali,3months ago,Network problem and hanging this phone I request to samsung pls sir improved it. I am very sad to buy this,Bad quality,Giridih District,Certified Buyer
114,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,1,Raghavendra  jadhav,4months ago,Some time While using the WhatsApp phone is restarting automatically...,Terrible product,Bangalore,Certified Buyer
115,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,1,senthil s,5months ago,recd damage piece  dont buy from online,Not recommended at all,Gautam Buddha Nagar,Certified Buyer
116,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Flipkart Customer,7months ago,Battery backup is not good,Good,Thane,Certified Buyer
